controller,rtt_ms,loss_pct,rate_mbps,cwnd,inflight,bodies,queue_bytes,dropped
CUBIC-like (loss-based),202.4,0.0,0.554,448500,21153,1000,14102,0
CUBIC-like (loss-based),212.2,0.0,0.522,453500,21153,1000,14102,0
CUBIC-like (loss-based),206.9,0.0,0.554,458500,21153,1000,14102,0
CUBIC-like (loss-based),205.5,0.0,0.555,463500,21153,1000,14102,0
CUBIC-like (loss-based),197.1,0.0,0.566,469000,21153,1000,14102,0
CUBIC-like (loss-based),200.8,0.0,0.554,474000,21153,1000,14102,0
CUBIC-like (loss-based),200.1,0.0,0.563,479000,21153,1000,14102,0
CUBIC-like (loss-based),204.4,0.0,0.563,484000,21153,1000,14102,0
CUBIC-like (loss-based),197.7,0.0,0.558,489500,21153,1000,14102,0
CUBIC-like (loss-based),205.3,0.0,0.554,494500,21153,1000,14102,0
CUBIC-like (loss-based),233.7,0.0,0.444,498500,21153,1000,14102,0
CUBIC-like (loss-based),232.6,0.0,0.477,503000,21153,1000,14102,0
CUBIC-like (loss-based),225.1,0.0,0.499,507500,21153,1000,14102,0
CUBIC-like (loss-based),210.1,0.0,0.563,512500,21153,1000,14102,0
CUBIC-like (loss-based),203.8,0.0,0.554,517500,21153,1000,14102,0
CUBIC-like (loss-based),206.0,0.0,0.53,522500,21153,1000,14102,0
CUBIC-like (loss-based),199.6,0.0,0.567,528000,21153,1000,14102,0
CUBIC-like (loss-based),196.2,0.0,0.563,533000,21153,1000,14102,0
CUBIC-like (loss-based),198.3,0.0,0.575,538500,21153,1000,14102,0
CUBIC-like (loss-based),205.5,0.0,0.538,543500,21153,1000,14102,0
CUBIC-like (loss-based),198.4,0.0,0.566,549000,21153,1000,14102,0
CUBIC-like (loss-based),196.5,0.0,0.566,554500,21153,1000,14102,0
CUBIC-like (loss-based),203.6,0.0,0.546,559500,21153,1000,14102,0
CUBIC-like (loss-based),201.7,0.0,0.554,564500,21153,1000,14102,0
CUBIC-like (loss-based),204.5,0.0,0.546,569500,21153,1000,14102,0
CUBIC-like (loss-based),205.0,0.0,0.554,574500,21153,1000,14102,0
CUBIC-like (loss-based),199.0,0.0,0.567,580000,21153,1000,14102,0
CUBIC-like (loss-based),206.4,0.0,0.546,585000,21153,1000,14102,0
CUBIC-like (loss-based),206.0,0.0,0.546,590000,21153,1000,14102,0
CUBIC-like (loss-based),205.3,0.0,0.555,595000,21153,1000,14102,0
CUBIC-like (loss-based),207.7,0.0,0.546,600000,21153,1000,14102,0
CUBIC-like (loss-based),205.5,0.0,0.555,605000,21153,1000,14102,0
CUBIC-like (loss-based),196.2,0.0,0.575,610500,21153,1000,14102,0
CUBIC-like (loss-based),200.9,0.0,0.554,615500,21153,1000,14102,0
CUBIC-like (loss-based),203.8,0.0,0.546,620500,21153,1000,14102,0
CUBIC-like (loss-based),211.6,0.0,0.538,625500,21153,1000,14102,0
CUBIC-like (loss-based),198.0,0.0,0.583,631000,21153,1000,14102,0
CUBIC-like (loss-based),197.3,0.0,0.592,636500,21153,1000,14102,0
CUBIC-like (loss-based),200.7,0.0,0.555,641500,21153,1000,14102,0
CUBIC-like (loss-based),197.7,0.0,0.575,647000,21153,1000,14102,0
CUBIC-like (loss-based),207.6,0.0,0.53,652000,21153,1000,14102,0
CUBIC-like (loss-based),206.0,0.0,0.563,657000,21153,1000,14102,0
CUBIC-like (loss-based),203.8,0.0,0.538,662000,21153,1000,14102,0
CUBIC-like (loss-based),202.1,0.0,0.563,667000,21153,1000,14102,0
CUBIC-like (loss-based),203.3,0.0,0.546,672000,21153,1000,14102,0
CUBIC-like (loss-based),208.6,0.0,0.538,677000,21153,1000,14102,0
CUBIC-like (loss-based),208.7,0.0,0.53,682000,21153,1000,14102,0
CUBIC-like (loss-based),193.7,0.0,0.566,687500,21153,1000,14102,0
CUBIC-like (loss-based),201.6,0.0,0.558,693000,21153,1000,14102,0
CUBIC-like (loss-based),219.2,0.0,0.507,697500,21153,1000,14102,0
CUBIC-like (loss-based),206.5,0.0,0.563,702500,21153,1000,14102,0
CUBIC-like (loss-based),198.7,0.0,0.566,708000,21153,1000,14102,0
CUBIC-like (loss-based),190.7,0.0,0.592,713500,21153,1000,14102,0
CUBIC-like (loss-based),192.0,0.0,0.575,719000,21153,1000,14102,0
CUBIC-like (loss-based),196.7,0.0,0.566,724500,21153,1000,14102,0
CUBIC-like (loss-based),197.8,0.0,0.558,730000,21153,1000,14102,0
CUBIC-like (loss-based),204.4,0.0,0.546,735000,21153,1000,14102,0
CUBIC-like (loss-based),199.5,0.0,0.583,740500,21153,1000,14102,0
CUBIC-like (loss-based),200.5,0.0,0.563,745500,21153,1000,14102,0
CUBIC-like (loss-based),241.9,0.0,0.443,749500,21153,1000,14102,0
CUBIC-like (loss-based),219.7,0.0,0.522,754500,21153,1000,14102,0
CUBIC-like (loss-based),206.1,0.0,0.563,759500,21153,1000,14102,0
CUBIC-like (loss-based),199.2,0.0,0.563,764500,21153,1000,14102,0
CUBIC-like (loss-based),206.7,0.0,0.522,769500,21153,1000,14102,0
CUBIC-like (loss-based),197.5,0.0,0.566,775000,21153,1000,14102,0
CUBIC-like (loss-based),208.6,0.0,0.546,780000,21153,1000,14102,0
DELAY-CC (latency-aware),216.0,0.0,0.457,13122,14104,1000,7052,0
DELAY-CC (latency-aware),215.7,0.0,0.269,5000,7052,1000,0,0
DELAY-CC (latency-aware),212.7,0.0,0.209,5000,7052,1000,7052,0
